T1S-FQ,T1S-FA,Unnamed: 2,T1S-FA_CIMBUR,T1S-FA_CIMBUR_R,T1S-FA_LLM,T1S-FA_CFG,T1S-FA_Query,T1S-FA_Query_R,T1S-FA_MT,T1S-FA_MT_R,T1S-FA_COVE,T1S-FA_COVE_R,T1S-FA_LLM_R,T1S-FA_CFG_R,T1S-FA_COVE_MT,T1S-FA_COVE_MT_R
Which error occurs in SpinedBufferTest of issue 17774?,NullPointerExceptions,1.0,NullPointerExceptions are seen in SpinedBufferTest. This failure was first noticed in the JDK11 Linux aarch64 sanity.openjdk PR build for #17732. This failure is highly intermittent; it happens once in 200 attempts. The error is a NullPointerException in the SpinedBufferTest class in the java.util.stream package.,1.0,NullPointerExceptions are seen in SpinedBufferTest.,The error that occurs in SpinedBufferTest of issue 17774 is a java.lang.NullPointerException.,"NullPointerExceptions are seen in SpinedBufferTest. This failure was first noticed in the JDK11 Linux aarch64 sanity.openjdk PR build for issue 17732. The failure is highly intermittent, happening once in 200.",1.0,"The error that occurs in SpinedBufferTest of issue 17774 is ""NullPointerExceptions seen in SpinedBufferTest"".",1.0,"The error that occurs in SpinedBufferTest of issue 17774 is ""NullPointerExceptions"".",1.0,1.0,0.0,"The error that occurs in SpinedBufferTest of issue 17774 is ""NullPointerExceptions"".",1
What is the specific failure reported in the test testGetAttributes in 18081?,java.lang.AssertionError,1.0,The specific failure reported in the testGetAttributes test in issue 18081 is that there is no public link available for testing on z/OS machines on OpenJ9 Jenkins. The sub-test that fails is the functional testList.,0.0,The specific failure reported in the test testGetAttributes in 18081 is that there is no z/OS machines available on OpenJ9 jenkins for testing.,The specific failure reported in the test testGetAttributes in 18081 is a java.lang.AssertionError.,"Failure in JLM_Tests_interface_0/1 on z/OS 3.1. There isn't a public link as there is no z/OS machines available on OpenJ9 jenkins for testing. Specifically this is the sub-test that fails. This is a brand new system setup undergoing validation, but I think this is a real failure... BUILDLIST=functional TARGET=`testList...",0.0,"The specific failure reported in the test testGetAttributes in issue number 18081 is: ""There isn't a public link as there is no z/OS machines available on OpenJ9 jenkins for testing. Specifically this is the sub-test that fails. This is a brand new system setup undergoing validation, but I think this is a real failure... BUILDLIST=functional TARGET=testList...""",0.0,"The specific failure reported in the test testGetAttributes in issue number 18081 is: ""Failure in JLM_Tests_interface_0/1 on z/OS 3.1. The sub-test that specifically fails is the ""functional"" sub-test. The system setup for testing in issue number 18081 is a brand new setup undergoing validation, and the failure reported is considered a real failure.""",0.0,0.0,1.0,The specific failure reported in the test testGetAttributes in issue number 18081 is related to the sub-test Failure in JLM_Tests_interface_0/1 on z/OS 3.1.,0
What specific exception is raised in issue 18043?,java.lang.Exception: ERROR: Ciphertext does not match,1.0,"The exception raised in issue 18043 is a java.lang.Exception with the message ""ERROR: Ciphertext does not match"".",1.0,The specific exception raised in issue 18043 is an ArrayIndexOutOfBoundsException.,java.lang.Exception: ERROR: Ciphertext does not match,The exception raised in issue 18043 is related to the test failure in the FIPS JDK17 environment due to a mismatch in the ciphertext.,0.0,"The exception specifically raised in issue 18043 is ""Ciphertext does not match"".",1.0,"The specific exception raised in issue 18043 is ""Ciphertext does not match"".",1.0,0.0,1.0,"The specific exception raised in issue 18043 is ""Ciphertext does not match"".",1
What component is affected by issue 18718?,comp:vm,,"The affected component in issue 18718 is ""comp:vm"", ""test failure"", and ""jdk22"" based on its description and labels.",1.0,"The component affected by issue 18718 is ""comp:vm"".","The component affected by issue 18718 is ""comp:vm"".","The affected component in issue 18718 is ""comp:vm"".",1.0,"The component affected by issue 18718 is ""comp:vm, test failure, jdk22"".",1.0,"The component affected by issue 18718 is ""comp:vm"".",1.0,1.0,1.0,"The component affected by issue 18718 is ""comp:vm"".",1
Show the stack trace of issue 17843,"Exception in thread ""Thread-0"" org.eclipse.openj9.criu.SystemCheckpointException: Could not dump the JVM processes, err=-52
at openj9.criu/org.eclipse.openj9.criu.CRIUSupport.checkpointJVMImpl(Native Method)
at openj9.criu/org.eclipse.openj9.criu.CRIUSupport.checkpointJVM(CRIUSupport.java:677)
at org.openj9.criu.CRIUTestUtils.checkPointJVMNoSetup(CRIUTestUtils.java:105)
at org.openj9.criu.TestSingleThreadModeRestoreException$2.run(TestSingleThreadModeRestoreException.java:123)
at java.base/java.lang.Thread.run(Thread.java:857)",1.0,"The stack trace details for issue 17843 are: Exception in thread ""Thread-0"" org.eclipse.openj9.criu.SystemCheckpointException: Could not dump the JVM processes, err=-52
at openj9.criu/org.eclipse.openj9.criu.CRIUSupport.checkpointJVMImpl(Native Method)
at java.base/java.lang.Thread.run(Thread.java:857)",1.0,"Failure link
------------

From [an internal build](https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdk17_j9_sanity.functional_ppc64le_linux_testList_0/414/)(`rhel7lert-1-9`):
```
java version ""17.0.8"" 2023-07-18
IBM Semeru Runtime Certified Edition 17.0.8.0-rc1 (build...","Exception in thread ""Thread-0"" org.eclipse.openj9.criu.SystemCheckpointException: Could not dump the JVM processes, err=-52
at openj9.criu/org.eclipse.openj9.criu.CRIUSupport.checkpointJVMImpl(Native Method)
at java.base/java.lang.Thread.run(Thread.java:857)","The stack trace details of issue 17843 are: 

Title: CRIU Assertion failed at openj9/runtime/compiler/control/CompilationThread.cpp:2927: !isCheckpointInProgress() Checkpoint already in progress!
Body: Failure link
------------
From an internal build: [an internal build](https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdk17_j9_sanity.functional_ppc64le_linux_testList_0/414/)(`rhel7lert-1-9`):
```
java version ""17.0.8"" 2023-07-18
IBM Semeru Runtime Certified Edition 17.0.8.0-rc1 (build...)",0.0,"Failure link
------------
From [an internal build](https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdk17_j9_sanity.functional_ppc64le_linux_testList_0/414/)(`rhel7lert-1-9`):
```
java version ""17.0.8"" 2023-07-18
IBM Semeru Runtime Certified Edition 17.0.8.0-rc1 (build...",0.0,The stack trace of issue 17843 can be found in the build logs of the internal build with java version 17.0.8.,0.0,0.0,1.0,The stack trace for issue 17843 can be found in the failure link provided.,0
Which file was not found during the test execution in issue #17540?,testng_210.xml,,java.io.FileNotFoundException: testng_210.xml (No such file or directory),1.0,The file that was not found during the test execution in issue #17540 was not specified in the body of the issue.,The file that was not found during the test execution in issue #17540 was testng_210.xml.,The file that was not found during the test execution in issue #17540 is located at the following link: https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdkNext_j9_sanity.functional_x86-64_linux_Personal/422/tapResults/,0.0,The file that was not found during the test execution in issue #17540 is not explicitly mentioned in the body of the issue.,0.0,"The file that was not found during the test execution in issue #17540 is testng_210.xml, as mentioned in the title and body of the issue. Additional details can be found at the provided link: https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdkNext_j9_sanity.functional_x86-64_linux_Personal/422/tapResults/",1.0,0.0,1.0,"The file that was not found during the test execution in issue #17540 is ""testng_210.xml"".",1
Which line of code in the CharacterDataLatin1 class triggered the ArrayIndexOutOfBoundsException in issue 17063?,72,1.0,The specific line of code that caused the ArrayIndexOutOfBoundsException in issue 17063 is line 72 in the CharacterDataLatin1 class.,1.0,"The line of code in the CharacterDataLatin1 class that triggered the ArrayIndexOutOfBoundsException in issue 17063 is ""java/lang/String/ToLowerCase.java"".",The line of code that triggered the ArrayIndexOutOfBoundsException in issue 17063 is line 72 in the CharacterDataLatin1 class.,"The specific line of code in the CharacterDataLatin1 class that caused the ArrayIndexOutOfBoundsException in issue 17063 is in the ""java/lang/String/ToLowerCase.java"" file.",0.0,"The specific line of code in the CharacterDataLatin1 class that caused the ArrayIndexOutOfBoundsException in issue 17063 is in the ""java/lang/String/ToLowerCase.java"" file.",0.0,"The specific line of code in the ""java/lang/String/ToLowerCase.java"" file that caused the ArrayIndexOutOfBoundsException in issue 17063 is not provided in the body of the issue.",0.0,0.0,1.0,"The ArrayIndexOutOfBoundsException in issue 17063 was triggered by the line of code in the CharacterDataLatin1 class that is in the ""java/lang/String/ToLowerCase.java"" file.",0
What were the configurations of the last passing build in issue 17359?,"Java version: ""21-internal"" dated 2023-09-19
OpenJDK Runtime Environment: 21-internal-adhoc.jenkins.BuildJDKnextx86-64linuxvalhallaNightly
Eclipse OpenJ9 VM: Build master-0609eb43a77, JRE 21 Linux amd64-64-Bit Compressed References 20230503_1032 (JIT enabled, AOT enabled)
OpenJ9 version: 0609eb43a77
OMR version: 5dcc2f28955
JCL version: 004eb7f92c8 based on jdk-21+19",1.0,"The most recent successful build in issue 17359 had a failure link and failed in an internal nightly build. The java version used was openjdk version ""21-internal"".",0.0,"The last passing build in issue 17359 had the following configurations: Failure link, regression introduced: yes, Failed in internal nightly [build](https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdkValhalla_j9_sanity.functional_x86-64_linux_valhalla_Nightly/856/tapResults/), java -version, openjdk version ""21-internal"".",The last passing build in issue 17359 had the following configurations: [Internal build](https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdk8_j9_sanity.openjdk_s390x_linux_openj9_jdk8_2023-03-29-22-01-01/).,"Failure link
------------
regression introduced: yes 
Failed in internal nightly [build](https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdkValhalla_j9_sanity.functional_x86-64_linux_valhalla_Nightly/856/tapResults/):
```
java -version
openjdk version ""21-internal""...",1.0,"The configurations of the last passing build in issue 17359 were:
Java version ""17.0.6""
IBM Semeru Runtime Open Edition 17.0.6.0
Eclipse OpenJ9 VM 17.0.6.0",0.0,"The configurations of the last passing build in issue 17359 did not include Java version '17.0.6', IBM Semeru Runtime Open Edition 17.0.6.0 (build 17.0.6+10), or Eclipse OpenJ9 VM 17.0.6.0 (build openj9-0.36.0, JRE 17 Linux amd64-64-Bit Compressed References 20230117_397 (JIT enabled, AOT enabled).",0.0,1.0,1.0,"The configurations for the last passing build in issue 17359 are as follows:
- Title: testGetSizeOfArray failed in Valhalla builds
- State: closed
- Comments: 7
- Created at: 2023-05-08
- Closed at: 2023-05-15
- Issue creator: hangshao0
- Labels: test failure
- Body: Failure link
  regression introduced: yes 
  Failed in internal nightly build: [link](https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdkValhalla_j9_sanity.functional_x86-64_linux_valhalla_Nightly/856/tapResults/)
- Milestone: None",0
Write the parameter mentioned in StackWalkerTest in issue 18961?,-Xjit:count=0,,java.lang.AssertionError: caller class wrong expected [class org.openj9.test.stackWalker.StackWalkerTest] but found [class java.lang.StackWalker]\nat org.testng.Assert.fail(Assert.java:96)\nat org.openj9.test.stackWalker.StackWalkerTest.testGetCallerClass(StackWalkerTest.java:92),0.0,The parameter mentioned in StackWalkerTest in issue 18961 is `-Xjit:count=0`.,The parameter mentioned in StackWalkerTest in issue 18961 is `-Xjit:count=0`.,"https://openj9-jenkins.osuosl.org/job/Pipeline-Build-Test-JDK11/742/ - all tested platforms

https://openj9-jenkins.osuosl.org/job/Test_openjdk11_j9_extended.functional_aarch64_linux_Nightly_testList_0/604

StackWalkerTest_1 `-Xjit:count=0`

```
23:24:51  FAILED: testGetCallerClass
23:24:51 ...",0.0,The parameter mentioned in StackWalkerTest for issue 18961 is `-Xjit:count=0`.,1.0,The parameter mentioned in StackWalkerTest in issue 18961 is `-Xjit:count=0`.,1.0,1.0,1.0,The parameter mentioned in StackWalkerTest for issue 18961 is `-Xjit:count=0`.,1
What JVM option was seen in the test failure of issue 18447?,-XX:+UseCompressedOops.,,"The JVM option associated with the test failure in issue 18447 is ""-XX:+UseAOT"".",0.0,"The JVM option seen in the test failure of issue 18447 is ""java version"".","The JVM option seen in the test failure of issue 18447 is ""java version"".","The JVM option mentioned in the test failure of issue 18447 is ""17.0.10-beta"".",0.0,"The JVM option observed in the test failure related to issue 18447 is ""java version ""17.0.10-beta"" 2024-01-16 IBM Semeru Runtime Certified Edition 17.0.10+2-202311111534"".",0.0,"The JVM option seen in the test failure of issue 18447 was ""java version ""17.0.10-beta"" 2024-01-16"".",0.0,0.0,0.0,"The JVM option observed in the test failure related to issue 18447 is ""17.0.10-beta"".",0
What was the failure reported in issue 18277?,"java.security.ProviderException: Secmod directory /etc/pki/nssdb invalid, NSS already initialized ",1.0,"The failure reported in issue 18277 was an internal build failure with the following details: 
-Dsemeru.fips=true
Failure link
From an internal build (https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdk11_j9_extended.openjdk_x86-64_linux_fips140_2_testList_2/3/)(rhel8x64-fips4-1):
openjdk version ""11.0.21"" 2023-10-17
IBM Semeru Runtime Open Edition...",0.0,The failure reported in issue 18277 was an ArrayIndexOutOfBoundsException in the java/lang/String/ToLowerCase test.,"The failure reported in issue 18277 was a java.security.ProviderException with the message ""Secmod directory /etc/pki/nssdb invalid, NSS already initialized with..."".","The failure reported in issue 18277 is related to a test failure with the label ""comp:fips"". The description includes information about the failure and a link to an internal build.",0.0,The failure reported in issue 18277 was related to a FIPS provider exception with a specific directory being invalid.,0.0,"The failure reported in issue 18277 was associated with the specific error message ""-Dsemeru.fips=true\r\n\r\nFailure link\r\n------------\r\n\r\nFrom [an internal build](https://hyc-runtimes-jenkins.swg-devops.com/job/Test_openjdk11_j9_extended.openjdk_x86-64_linux_fips140_2_testList_2/3/)(`rhel8x64-fips4-1`):\r\n```\r\nopenjdk version ""11.0.21"" 2023-10-17\r\nIBM Semeru Runtime Open Edition..."".",0.0,0.0,1.0,The failure reported in issue 18277 was related to a FIPS ProviderException with the Secmod directory being invalid. The known solution or workaround for this issue is to use the command line argument: -Dsemeru.fips=true.,0
On which machine did the failure occur for issue 17137?,rhel9lert-2,1.0,The machine name where the failure occurred for issue 17137 is rhel9lert-2.,1.0,"The failure occurred on machine ""rhel9lert-2"".",The failure occurred on the machine with the java.security.ProviderException.,The machine name where the failure occurred for issue 17137 is 'rhel9lert-2'.,1.0,The failure for issue 17137 occurred on machine 'rhel9lert-2'.,1.0,The failure for issue 17137 did not occur only on machine 'rhel9lert-2'.,1.0,1.0,0.0,The machine affected by the failure for issue 17137 was 'rhel9lert-2'.,1
what is the nature of the failure in issue 17995?,The failure in issue 17995 is caused by java.lang.ArrayIndexOutOfBoundsException or ArrayIndexOutOfBoundsException,1.0,"The failure in issue 17995 is a test failure in the JDK NIO library, specifically in the TestIBMBugs.java file. The failure is caused by an ArrayIndexOutOfBoundsException in the CharacterDataLatin1 class. This issue has the label ""test failure"" and the body includes a link to an internal build that shows the failure.",0.0,The nature of the failure in issue 17995 is a failure in an internal build.,The nature of the failure in issue 17995 is an ArrayIndexOutOfBoundsException.,"Based on the title, exceptions, body, and labels of issue 17995, the nature of the failure is related to a test failure in the TestIBMBugs.java file, specifically encountering a java.lang.ArrayIndexOutOfBoundsException at java.lang.CharacterDataLatin1.getProperties(CharacterDataLatin1.java:72). The failure occurred in an internal build of openjdk version ""1.8.0_392-beta"" of IBM Semeru Runtime Open Edition. The issue is labeled as a test failure.",0.0,The nature of the failure in issue 17995 is a java.lang.ArrayIndexOutOfBoundsException in the file TestIBMBugs.java.,1.0,The nature of the failure in issue 17995 is a java.lang.ArrayIndexOutOfBoundsException.,1.0,0.0,1.0,"The nature of the failure in issue 17995 is a java.lang.ArrayIndexOutOfBoundsException caused by an internal build with OpenJDK version ""1.8.0_392-beta"" and IBM Semeru Runtime Open Edition.",1
in which method the exception occurs in issue 18487,ElapsedTime.main,1.0,The exception is happening in the ElapsedTime.main method.,1.0,"The exception occurs in the body of the issue, specifically in the ""Failure link"" section.","The exception occurs in the ""Failure link"" method.",The exception occurs in the body of the issue.,0.0,"The exception occurs in the method ""cmdLineTest_J9test_elapsedTime_0"" in issue 18487.",0.0,The exception occurs in the method mentioned in the body of the issue.,0.0,0.0,0.0,The exception occurs in the method described in the body of the issue 18487.,0
Which test failed in issue 18694?,test_asInterfaceInstance_InnerClass,,The failing test in issue 18694 is the jsr292Test.,0.0,The test that failed in issue 18694 is jsr292Test.,The test that failed in issue 18694 is jsr292Test.,"The failed test in issue 18694 is related to ""jdk22 jsr292Test NoClassDefFoundError SamePackageSingleMethodInterfaceExample/0x0000000000000000 (wrong name: jdk/MHProxy1/SamePackageSingleMethodInterfaceExample)"". The detailed information about the test failure can be found in the body of the issue.",0.0,"The test that failed in issue 18694 was ""jsr292Test"".",0.0,"The test that failed in issue 18694 is not ""jsr292Test"".",0.0,0.0,0.0,"The test that failed in issue 18694 was ""jsr292Test"".",0
Which class and method in the codebase does the stack trace point to in issue 18698?,"BasicTest class, testPrimitiveConversion method.",1.0,The class and method referenced by the stack trace in issue 18698 is BasicTest.testPrimitiveConversion.,1.0,"The stack trace points to the class ""java/lang/invoke/MethodHandleProxies/BasicTest.java"" in the codebase.",The stack trace points to the java/lang/invoke/MethodHandleProxies/BasicTest.java class and the java/util/function/jdk/MHProxy1/Function/0x0000000000000000 method.,"The class and method indicated by the stack trace in issue 18698 is ""java/lang/invoke/MethodHandleProxies/BasicTest"".",0.0,"The stack trace in issue 18698 points to the class and method ""java/lang/invoke/MethodHandleProxies/BasicTest.java"".",0.0,The stack trace in issue 18698 does not point to the class 'jdk_lang' or the method 'java/lang/invoke/MethodHandleProxies/BasicTest.java'.,0.0,0.0,0.0,"The stack trace in issue 18698 is pointing to the class ""java/lang/invoke/MethodHandleProxies/BasicTest.java"" and the method ""jdk_lang"".",0
